demName	d.gone.neg	d.gone.neg.l1	d.gone.neg.l2	d.neg.frac.l3	camp.length	deminc	base.poll	year.2002	year.2004	year.2006	base.und	office	demprcnt	time
Ritter	1	1	1	0.142857143	14	0	55.17241379	0	0	1	13	0	58.65961418	1
Robb	1	1	1	0.4	22	1	48.8372093	0	0	0	14	1	47.71094103	1
Salazar	1	1	1	0.166666667	13	0	49.47368421	0	1	0	5	1	52.43760961	1
Sanchez	1	1	1	0.535714286	35	0	41.37931034	1	0	0	13	0	40.87239457	1
Sanders	1	1	1	0.2	22	0	40.90909091	1	0	0	12	1	44.8200197	1
Sarbanes	0	0	0	0	36	1	67.44186047	0	0	0	14	1	63.23353337	1
Sebelius	1	0	0	0	14	0	65.71428571	1	0	0	30	0	53.97147631	1
Shaheen	1	1	1	1	9	1	56.74560733	0	0	0	19	0	52.69028142	1
Siegelman	1	1	1	0.1875	23	1	45.74468085	1	0	0	6	0	49.88369752	1
Stabenow	1	1	1	0.714285714	14	0	47.56097561	0	0	0	18	1	50.82899785	1
Strickland	1	1	1	1	13	0	44.73684211	1	0	0	24	1	47.44649248	1
Taylor	1	1	0	0	17	0	42.39130435	0	0	1	8	0	39.74224473	1
Tenenbaum	1	1	1	0.384615385	20	0	59.25925926	0	1	0	19	1	45.10797278	1
Titus	1	1	1	0.333333333	13	0	43.20987654	0	0	1	19	0	47.81937844	1
Townsend	1	1	1	0.5	9	0	48.88848617	1	0	0	9	0	48.04579289	1
Vilsack	1	1	1	0.6875	23	1	59.5505618	1	0	0	11	0	54.20420616	1
Walters	0	0	0	1	8	0	36.04651163	1	0	0	14	1	38.78764548	1
Webb	1	1	1	0	22	0	44.56521739	0	0	1	8	1	50.19917733	1
Weinberg	1	0	0	0	24	0	32	1	0	0	25	1	35.32479517	1
Weygand	0	1	0	0	9	0	39.24050633	0	0	0	21	1	41.97559507	1
Whitehouse	1	1	1	0	9	0	52.44411527	0	0	1	13.5	1	53.5196346	1
Wise	1	1	0	0	27	0	51.1627907	0	0	0	14	0	51.49790408	1
Akaka	0	0	0	0	8	1	65.90909091	0	0	1	12	1	62.51876336	2
Angelides	0	0	1	0.764705882	23	0	45.88235294	0	0	1	15	0	41.04506576	2
Baldacci	1	1	1	0.1875	22	1	51.13636364	0	0	1	12	0	55.7794299	2
Barnes	1	1	0	0	12	1	59.74025974	1	0	0	23	0	47.35652352	2
Baxley	0	0	0	0.277777778	24	0	43.02325581	0	0	1	14	0	41.9840343	2
Beebe	1	1	1	0.052631579	25	0	56.32183908	0	0	1	13	0	57.75839529	2
Bell	1	0	0	0	36	0	34.54545455	0	0	1	45	0	43.28646054	2
Bernstein	0	1	1	1	10	0	41.66666667	0	0	0	16	1	41.87736292	2
Bingaman	0	0	0	0	23	1	64.94845361	0	0	0	3	1	61.72884342	2
Blagojevich	1	1	0	0.214285714	34	0	50.63291139	1	0	0	21	0	53.66182452	2
Bowles	1	1	1	0.666666667	9	0	41.66666667	1	0	0	16	1	45.63100032	2
Boxer	0	0	0	0	36	1	57.35142119	0	1	0	12	1	60.42337979	2
Bradbury	0	1	0	0.157894737	25	0	42.85714286	1	0	0	16	1	41.33620494	2
Brady	1	1	1	0	25	0	30	0	0	1	40	0	45.57717256	2
Bredesen	1	1	1	0.111111111	15	0	56.06060606	1	0	0	34	0	51.55413472	2
Brown	1	1	1	0.272727273	28	0	51.76470588	0	0	1	15	1	56.17573237	2
Byrd	0	0	0	0.095238095	27	1	62.63736264	0	0	1	9	1	65.64669336	2
Cantwell	1	1	1	1	8	0	46.19699042	0	0	0	14.5	1	50.04650251	2
Cardin	1	1	1	0.333333333	9	0	54.90369845	0	0	1	8	1	55.08641441	2
Carnahan	1	1	1	0.25	14	1	55.91397849	1	0	0	7	1	49.42519783	2
Carper	0	1	1	0.25	10	0	49.41176471	0	0	0	15	1	55.97154936	2
Carson	1	1	1	0.333333333	15	0	42.2310757	0	1	0	24.7	1	43.872773	2
Carter	0	0	0	0	13	0	37.93103448	0	0	1	13	1	42.54360882	2
Casey	1	1	1	0.3	26	0	62.92134831	0	0	1	11	1	58.68375839	2
Castor	1	1	1	0.5	10	0	51.08695652	0	1	0	10	1	49.43093584	2
Clavelle	1	1	1	0.5	8	0	41.46341463	0	1	0	18	0	39.25726159	2
Cleland	1	1	0	0.333333333	12	1	64.28571429	1	0	0	16	1	46.52283314	2
Clement	1	1	0	0	15	0	43.52941176	1	0	0	15	1	44.96439188	2
Clinton	1	1	1	1	9	0	52.74725275	0	0	0	9	1	56.24024469	2
Corzine	1	1	0	0.117647059	23	0	54.43037975	0	0	0	21	1	51.55159263	2
Culver	1	1	1	0.352941176	23	0	54.44444444	0	0	1	10	0	54.90117189	2
Curry	0	1	0	0.666666667	9	0	41.33333333	1	0	0	25	0	43.89144253	2
Davis	1	1	1	0.533333333	36	1	48.8372093	1	0	0	14	0	52.71276452	2
Dayton	1	1	1	1	9	0	51.76470588	0	0	0	15	1	53.00756788	2
DeStefano	1	0	1	0.125	14	0	34.93083004	0	0	1	10	0	35.93174214	2
Doyle	1	1	1	0.333333333	9	0	50.68493151	1	0	0	27	0	52.14082775	2
Durbin	0	0	0	0	34	1	63.41463415	1	0	0	18	1	61.34378238	2
Easley	1	0	0	0.363636364	28	0	58.75	0	0	0	20	0	52.92887174	2
Farmer	1	0	0	0	14	0	39.36170213	0	1	0	6	1	43.27763559	2
Feingold	1	1	1	0	8	1	53.125	0	1	0	4	1	55.64975391	2
Feinstein	0	0	0	0	36	1	61.11111111	0	0	0	10	1	60.4164929	2
Fernald	0	0	0	0	9	0	42.1686747	1	0	0	17	0	39.4640276	2
Fingerhut	0	0	0	0	36	0	41.30434783	0	1	0	8	1	36.14605872	2
Fisher	1	1	1	0.210526316	25	0	39.20270024	1	0	0	13	0	46.9682069	2
Fogarty	1	1	0	0	9	0	46.04743083	0	0	1	10	0	51.00863734	2
Ford	1	1	1	0.666666667	15	0	43.90374332	0	0	1	19	1	48.62049399	2
Granholm	1	1	1	0.75	14	0	51.94805195	1	0	0	23	0	52.03337686	2
Gregoire	1	1	1	0.5	8	0	53.78247151	0	1	0	12	0	50.00242119	2
Hagan	0	0	0	0	27	0	36.25	1	0	0	20	0	39.87593534	2
Harkin	1	1	1	0.352941176	23	1	58.24175824	1	0	0	9	1	55.30778211	2
Hatch	1	1	1	1	9	0	50.58139535	0	0	1	15	0	49.48163778	2
Heath	0	0	0	0	13	0	33.33333333	1	0	0	16	0	34.95502796	2
Henry	0	0	0	0.5	8	0	36.23188406	1	0	0	31	0	50.38598188	2
Hirono	1	1	1	0.5	8	0	41.89189189	1	0	0	26	0	47.69524447	2
Hodges	1	1	1	0.785714286	20	1	51.1627907	1	0	0	14	0	47.09541806	2
Hoeffel	0	1	1	0.090909091	28	0	43.47826087	0	1	0	8	1	44.38171846	2
Holden	1	1	1	1	14	0	53.75	0	0	0	20	0	50.46944934	2
Kernan	1	1	1	0.047619048	27	1	49.33333333	0	1	0	25	0	46.08964206	2
Kirk	1	1	1	0	31	0	52.43902439	1	0	0	18	1	43.92986435	2
Klink	0	0	0	0.038461538	32	0	41.89189189	0	0	0	26	1	46.47333223	2
Klobuchar	1	0	1	0.333333333	9	0	61.36363636	0	0	1	12	1	60.47991442	2
Kohl	0	0	0	0	9	1	64.51612903	0	0	1	7	1	69.5436076	2
Kulongoski	1	1	1	0.105263158	25	0	67.81609195	1	0	0	13	0	51.5093904	2
Lautenberg	1	1	1	0.294117647	23	0	53.1897222	1	0	0	13.75	1	55.07477867	2
Lincoln	0	0	0	0	25	1	63.04347826	0	1	0	8	1	55.91607002	2
Lynch	1	1	1	0.5	8	0	48.35164835	0	1	0	9	0	51.07447319	2
Majette	1	0	0	0.142857143	13	0	44.25287356	0	1	0	13	1	40.47681082	2
Matheson	0	0	0	0	20	0	41.57303371	0	1	0	11	0	41.72666527	2
McBride	1	0	0	0.333333333	9	0	47.25274725	1	0	0	9	0	43.7896935	2
McCall	1	0	1	0.333333333	9	0	40	1	0	0	20	0	40.90553589	2
McCaskill	1	1	1	0.25	14	0	47.31182796	0	1	0	7	0	48.49140846	2
Menendez	1	1	1	0.117647059	23	1	48.05194805	0	0	1	23	1	54.61808281	2
Mikulski	1	1	0	0	36	1	68.60465116	0	1	0	14	1	65.77176837	2
Miller	1	0	0	0	17	0	63.26558266	0	0	0	14	1	60.55717482	2
Minner	1	0	0	0	10	0	64.38356164	0	0	0	27	0	59.84895316	2
Moe	0	0	0	0	9	0	49.09090909	1	0	0	45	0	45.1062507	2
Mongiardo	1	1	1	0	25	0	44.82758621	0	1	0	13	1	49.34317736	2
Moore	1	1	0	0.0625	22	0	43.33333333	0	0	1	10	0	44.83053209	2
Murray	1	1	1	1	8	1	60.63829787	0	1	0	6	1	56.26520354	2
Napolitano	1	1	1	0.333333333	9	0	54.83870968	1	0	0	38	0	50.52728131	2
Nelson	1	1	1	1	10	0	55	0	0	0	20	1	52.49470792	2
O'Bannon	1	1	1	0.136363636	28	1	55.42168675	0	0	0	17	0	57.57884392	2
O'Brien	1	0	0	0	8	0	51.72413793	1	0	0	13	0	47.44926416	2
O'Malley	0	0	0	0	9	0	53.5188216	0	0	1	7.5	0	53.30407192	2
Orton	0	0	0	0	20	0	34.52380952	0	0	0	16	0	43.11356479	2
Parker	0	0	0	0	20	0	42.30769231	1	0	0	22	1	40.47335252	2
Pederson	1	1	1	1	9	0	45.53648599	0	0	1	10	1	44.91873397	2
Pingree	1	0	0	0.1875	22	0	35.34303534	1	0	0	24	1	41.56435247	2
Pryor	1	1	1	0.578947368	25	0	45.74468085	1	0	0	6	1	54.09355452	2
Racine	0	0	0	0	9	0	54.83870968	1	0	0	38	0	48.5395595	2
Rendell	1	1	1	0.368421053	25	0	53.875806	1	0	0	15.5	0	54.62260927	2
Richardson	1	1	1	0.176470588	23	0	62.76595745	1	0	0	6	0	58.69645475	2
Ritter	1	1	1	0.25	14	0	55.17241379	0	0	1	13	0	58.65961418	2
Robb	1	1	1	0.4375	22	1	48.8372093	0	0	0	14	1	47.71094103	2
Salazar	1	1	1	0.285714286	13	0	49.47368421	0	1	0	5	1	52.43760961	2
Sanchez	1	1	1	0.551724138	35	0	41.37931034	1	0	0	13	0	40.87239457	2
Sanders	1	1	1	0.25	22	0	40.90909091	1	0	0	12	1	44.8200197	2
Sarbanes	0	0	0	0	36	1	67.44186047	0	0	0	14	1	63.23353337	2
Sebelius	1	1	0	0	14	0	65.71428571	1	0	0	30	0	53.97147631	2
Shaheen	1	1	1	1	9	1	56.74560733	0	0	0	19	0	52.69028142	2
Siegelman	1	1	1	0.235294118	23	1	45.74468085	1	0	0	6	0	49.88369752	2
Stabenow	1	1	1	0.75	14	0	47.56097561	0	0	0	18	1	50.82899785	2
Strickland	1	1	1	1	13	0	44.73684211	1	0	0	24	1	47.44649248	2
Taylor	1	1	1	0	17	0	42.39130435	0	0	1	8	0	39.74224473	2
Tenenbaum	1	1	1	0.428571429	20	0	59.25925926	0	1	0	19	1	45.10797278	2
Titus	1	1	1	0.428571429	13	0	43.20987654	0	0	1	19	0	47.81937844	2
Townsend	1	1	1	0.666666667	9	0	48.88848617	1	0	0	9	0	48.04579289	2
Vilsack	1	1	1	0.705882353	23	1	59.5505618	1	0	0	11	0	54.20420616	2
Walters	1	0	0	0.5	8	0	36.04651163	1	0	0	14	1	38.78764548	2
Webb	1	1	1	0.0625	22	0	44.56521739	0	0	1	8	1	50.19917733	2
Weinberg	1	1	0	0	24	0	32	1	0	0	25	1	35.32479517	2
Weygand	0	0	1	0	9	0	39.24050633	0	0	0	21	1	41.97559507	2
Whitehouse	1	1	1	0.333333333	9	0	52.44411527	0	0	1	13.5	1	53.5196346	2
Wise	1	1	1	0	27	0	51.1627907	0	0	0	14	0	51.49790408	2
Akaka	0	0	0	0	8	1	65.90909091	0	0	1	12	1	62.51876336	3
Angelides	1	0	0	0.777777778	23	0	45.88235294	0	0	1	15	0	41.04506576	3
Baldacci	1	1	1	0.235294118	22	1	51.13636364	0	0	1	12	0	55.7794299	3
Barnes	1	1	1	0	12	1	59.74025974	1	0	0	23	0	47.35652352	3
Baxley	1	0	0	0.263157895	24	0	43.02325581	0	0	1	14	0	41.9840343	3
Beebe	1	1	1	0.1	25	0	56.32183908	0	0	1	13	0	57.75839529	3
Bell	1	1	0	0	36	0	34.54545455	0	0	1	45	0	43.28646054	3
Bernstein	1	0	1	1	10	0	41.66666667	0	0	0	16	1	41.87736292	3
Bingaman	0	0	0	0	23	1	64.94845361	0	0	0	3	1	61.72884342	3
Blagojevich	1	1	1	0.206896552	34	0	50.63291139	1	0	0	21	0	53.66182452	3
Bowles	1	1	1	0.75	9	0	41.66666667	1	0	0	16	1	45.63100032	3
Boxer	0	0	0	0	36	1	57.35142119	0	1	0	12	1	60.42337979	3
Bradbury	0	0	1	0.15	25	0	42.85714286	1	0	0	16	1	41.33620494	3
Brady	1	1	1	0.05	25	0	30	0	0	1	40	0	45.57717256	3
Bredesen	1	1	1	0.2	15	0	56.06060606	1	0	0	34	0	51.55413472	3
Brown	1	1	1	0.304347826	28	0	51.76470588	0	0	1	15	1	56.17573237	3
Byrd	0	0	0	0.090909091	27	1	62.63736264	0	0	1	9	1	65.64669336	3
Cantwell	1	1	1	1	8	0	46.19699042	0	0	0	14.5	1	50.04650251	3
Cardin	1	1	1	0.5	9	0	54.90369845	0	0	1	8	1	55.08641441	3
Carnahan	1	1	1	0.333333333	14	1	55.91397849	1	0	0	7	1	49.42519783	3
Carper	1	0	1	0.4	10	0	49.41176471	0	0	0	15	1	55.97154936	3
Carson	1	1	1	0.4	15	0	42.2310757	0	1	0	24.7	1	43.872773	3
Carter	0	0	0	0	13	0	37.93103448	0	0	1	13	1	42.54360882	3
Casey	1	1	1	0.333333333	26	0	62.92134831	0	0	1	11	1	58.68375839	3
Castor	1	1	1	0.6	10	0	51.08695652	0	1	0	10	1	49.43093584	3
Clavelle	1	1	1	0.666666667	8	0	41.46341463	0	1	0	18	0	39.25726159	3
Cleland	1	1	1	0.285714286	12	1	64.28571429	1	0	0	16	1	46.52283314	3
Clement	1	1	1	0	15	0	43.52941176	1	0	0	15	1	44.96439188	3
Clinton	1	1	1	1	9	0	52.74725275	0	0	0	9	1	56.24024469	3
Corzine	1	1	1	0.111111111	23	0	54.43037975	0	0	0	21	1	51.55159263	3
Culver	1	1	1	0.388888889	23	0	54.44444444	0	0	1	10	0	54.90117189	3
Curry	0	0	1	0.5	9	0	41.33333333	1	0	0	25	0	43.89144253	3
Davis	1	1	1	0.548387097	36	1	48.8372093	1	0	0	14	0	52.71276452	3
Dayton	1	1	1	1	9	0	51.76470588	0	0	0	15	1	53.00756788	3
DeStefano	1	1	0	0.222222222	14	0	34.93083004	0	0	1	10	0	35.93174214	3
Doyle	0	1	1	0.5	9	0	50.68493151	1	0	0	27	0	52.14082775	3
Durbin	0	0	0	0	34	1	63.41463415	1	0	0	18	1	61.34378238	3
Easley	1	1	0	0.347826087	28	0	58.75	0	0	0	20	0	52.92887174	3
Farmer	1	1	0	0	14	0	39.36170213	0	1	0	6	1	43.27763559	3
Feingold	1	1	1	0.333333333	8	1	53.125	0	1	0	4	1	55.64975391	3
Feinstein	0	0	0	0	36	1	61.11111111	0	0	0	10	1	60.4164929	3
Fernald	0	0	0	0	9	0	42.1686747	1	0	0	17	0	39.4640276	3
Fingerhut	0	0	0	0	36	0	41.30434783	0	1	0	8	1	36.14605872	3
Fisher	1	1	1	0.25	25	0	39.20270024	1	0	0	13	0	46.9682069	3
Fogarty	1	1	1	0	9	0	46.04743083	0	0	1	10	0	51.00863734	3
Ford	1	1	1	0.7	15	0	43.90374332	0	0	1	19	1	48.62049399	3
Granholm	1	1	1	0.777777778	14	0	51.94805195	1	0	0	23	0	52.03337686	3
Gregoire	1	1	1	0.666666667	8	0	53.78247151	0	1	0	12	0	50.00242119	3
Hagan	1	0	0	0	27	0	36.25	1	0	0	20	0	39.87593534	3
Harkin	1	1	1	0.388888889	23	1	58.24175824	1	0	0	9	1	55.30778211	3
Hatch	1	1	1	1	9	0	50.58139535	0	0	1	15	0	49.48163778	3
Heath	1	0	0	0	13	0	33.33333333	1	0	0	16	0	34.95502796	3
Henry	1	0	0	0.333333333	8	0	36.23188406	1	0	0	31	0	50.38598188	3
Hirono	1	1	1	0.666666667	8	0	41.89189189	1	0	0	26	0	47.69524447	3
Hodges	1	1	1	0.8	20	1	51.1627907	1	0	0	14	0	47.09541806	3
Hoeffel	0	0	1	0.130434783	28	0	43.47826087	0	1	0	8	1	44.38171846	3
Holden	1	1	1	1	14	0	53.75	0	0	0	20	0	50.46944934	3
Kernan	1	1	1	0.090909091	27	1	49.33333333	0	1	0	25	0	46.08964206	3
Kirk	1	1	1	0.038461538	31	0	52.43902439	1	0	0	18	1	43.92986435	3
Klink	1	0	0	0.037037037	32	0	41.89189189	0	0	0	26	1	46.47333223	3
Klobuchar	0	1	0	0.5	9	0	61.36363636	0	0	1	12	1	60.47991442	3
Kohl	0	0	0	0	9	1	64.51612903	0	0	1	7	1	69.5436076	3
Kulongoski	1	1	1	0.15	25	0	67.81609195	1	0	0	13	0	51.5093904	3
Lautenberg	1	1	1	0.333333333	23	0	53.1897222	1	0	0	13.75	1	55.07477867	3
Lincoln	0	0	0	0	25	1	63.04347826	0	1	0	8	1	55.91607002	3
Lynch	1	1	1	0.666666667	8	0	48.35164835	0	1	0	9	0	51.07447319	3
Majette	1	1	0	0.125	13	0	44.25287356	0	1	0	13	1	40.47681082	3
Matheson	0	0	0	0	20	0	41.57303371	0	1	0	11	0	41.72666527	3
McBride	1	1	0	0.25	9	0	47.25274725	1	0	0	9	0	43.7896935	3
McCall	1	1	0	0.5	9	0	40	1	0	0	20	0	40.90553589	3
McCaskill	1	1	1	0.333333333	14	0	47.31182796	0	1	0	7	0	48.49140846	3
Menendez	1	1	1	0.166666667	23	1	48.05194805	0	0	1	23	1	54.61808281	3
Mikulski	1	1	1	0	36	1	68.60465116	0	1	0	14	1	65.77176837	3
Miller	1	1	0	0	17	0	63.26558266	0	0	0	14	1	60.55717482	3
Minner	1	1	0	0	10	0	64.38356164	0	0	0	27	0	59.84895316	3
Moe	0	0	0	0	9	0	49.09090909	1	0	0	45	0	45.1062507	3
Mongiardo	1	1	1	0.05	25	0	44.82758621	0	1	0	13	1	49.34317736	3
Moore	1	1	1	0.058823529	22	0	43.33333333	0	0	1	10	0	44.83053209	3
Murray	1	1	1	1	8	1	60.63829787	0	1	0	6	1	56.26520354	3
Napolitano	1	1	1	0.5	9	0	54.83870968	1	0	0	38	0	50.52728131	3
Nelson	1	1	1	1	10	0	55	0	0	0	20	1	52.49470792	3
O'Bannon	1	1	1	0.173913043	28	1	55.42168675	0	0	0	17	0	57.57884392	3
O'Brien	1	1	0	0	8	0	51.72413793	1	0	0	13	0	47.44926416	3
O'Malley	0	0	0	0	9	0	53.5188216	0	0	1	7.5	0	53.30407192	3
Orton	0	0	0	0	20	0	34.52380952	0	0	0	16	0	43.11356479	3
Parker	0	0	0	0	20	0	42.30769231	1	0	0	22	1	40.47335252	3
Pederson	1	1	1	1	9	0	45.53648599	0	0	1	10	1	44.91873397	3
Pingree	0	1	0	0.176470588	22	0	35.34303534	1	0	0	24	1	41.56435247	3
Pryor	1	1	1	0.6	25	0	45.74468085	1	0	0	6	1	54.09355452	3
Racine	1	0	0	0	9	0	54.83870968	1	0	0	38	0	48.5395595	3
Rendell	1	1	1	0.4	25	0	53.875806	1	0	0	15.5	0	54.62260927	3
Richardson	1	1	1	0.222222222	23	0	62.76595745	1	0	0	6	0	58.69645475	3
Ritter	1	1	1	0.333333333	14	0	55.17241379	0	0	1	13	0	58.65961418	3
Robb	1	1	1	0.470588235	22	1	48.8372093	0	0	0	14	1	47.71094103	3
Salazar	1	1	1	0.375	13	0	49.47368421	0	1	0	5	1	52.43760961	3
Sanchez	1	1	1	0.566666667	35	0	41.37931034	1	0	0	13	0	40.87239457	3
Sanders	1	1	1	0.294117647	22	0	40.90909091	1	0	0	12	1	44.8200197	3
